0,1,2,3,y
6993,7524,3699,10818,1
6799,7463,5331,8931,1
6219,7083,2983,10319,1
4780,5556,3437,6899,1
12913,15431,13304,15040,1
7752,6788,6650,7890,0
15042,10928,11043,14927,0
3890,4202,3501,4591,1
8354,8982,8302,9034,1
22302,14293,16116,20479,0
5420,7184,5952,6652,1
12467,8728,9024,12171,0
14011,10505,11705,12811,0
6990,7818,7061,7747,1
8609,10139,9055,9693,1
6601,7339,4954,8986,1
8252,8391,5409,11234,1
8469,10635,6897,12207,1
9424,9514,8082,10856,1
9512,9571,7743,11340,0
19580,12898,14368,18110,0
8413,10791,5944,13260,1
10655,10215,9404,11466,0
14212,11535,12942,12805,0
17020,11251,13617,14654,0
5920,7411,6001,7330,1
5190,5722,1969,8943,1
11160,9108,9364,10904,0
15110,11254,11162,15202,0
7227,8027,5051,10203,1
12866,14990,12125,15731,0
9058,8485,5678,11865,0
12891,10587,11195,12283,0
6917,8706,5742,9881,1
7633,7835,6650,8818,1
10267,7741,8190,9818,0
8034,6785,7137,7682,0
10405,7408,8382,9431,0
15077,9622,10373,14326,0
5272,6483,4124,7631,1
11163,15027,12547,13643,0
9953,11441,10696,10698,1
7803,7929,4002,11730,1
6702,7502,3587,10617,1
9874,9053,8386,10541,0
13341,9194,8112,14423,0
10716,10866,8708,12874,1
9261,7990,7950,9301,0
4520,5241,4704,5057,1
8736,7009,7506,8239,0
2967,3171,926,5212,1
5069,5458,2204,8323,1
15973,12377,13160,15190,0
10667,7689,8541,9815,0
13308,10042,11409,11941,0
8014,9181,7273,9922,1
7500,8477,7503,8474,1
8207,7978,4004,12181,1
6875,8503,6502,8876,0
8759,7297,7441,8615,0
10641,9426,8722,11345,0
8047,8406,4499,11954,1
7435,8776,8178,8033,1
4933,5622,5004,5551,1
4298,5446,3941,5803,1
11214,8715,7255,12674,0
8517,9030,5947,11600,1
12137,7759,6253,13643,0
9444,9568,5987,13025,1
10628,10536,9842,11322,1
13932,8959,6984,15907,0
8850,10191,7932,11109,1
6829,10004,6562,10271,0
13135,10599,11688,12046,0
8107,9209,6366,10950,1
9241,11174,7648,12767,1
8004,9493,9578,7919,1
10162,7394,6118,11438,0
15768,11015,12505,14278,0
10597,10956,9043,12510,1
8452,7948,7047,9353,0
10604,8431,8562,10473,0
4579,6120,4746,5953,1
12180,9303,9848,11635,0
17028,13709,13012,17725,0
7199,7379,4856,9722,1
8026,9566,8151,9441,1
9599,6850,5426,11023,0
11463,11318,9197,13584,0
18176,11033,10080,19129,0
9152,10225,8075,11302,1
14934,11590,12931,13593,0
7955,8261,7105,9111,0
12583,10505,7771,15317,0
4887,5904,3549,7242,1
14532,9233,10958,12807,0
10166,7928,5443,12651,0
6690,7682,2456,11916,1
8432,9107,8095,9444,1
5499,5886,2806,8579,1
5697,6365,2168,9894,1
7870,7976,6639,9207,1
9435,10306,8322,11419,0
7780,8990,7524,9246,1
7398,8608,7333,8673,1
8207,8267,7894,8580,1
5932,6809,2427,10314,1
4064,5342,4230,5176,1
6718,7414,3405,10727,1
11765,8798,6709,13854,0
9905,8170,7340,10735,0
8964,9429,8809,9584,1
15230,11445,9635,17040,0
9196,11596,8730,12062,1
5675,6313,3820,8168,1
4610,4787,4463,4934,1
6639,6288,4655,8272,1
5661,6063,5224,6500,1
13270,10473,10379,13364,0
6309,6205,3948,8566,1
7003,7854,2897,11960,1
15719,10255,9953,16021,0
4156,4816,2584,6388,1
15343,12254,13505,14092,0
7855,8289,7195,8949,1
7898,7837,6284,9451,0
5807,6553,4908,7452,1
6953,7020,3512,10461,1
8915,9781,8916,9780,1
15178,11605,11991,14792,0
14372,14923,13210,16085,1
7481,8798,7046,9233,1
14236,13008,10962,16282,0
8456,7222,4613,11065,0
11323,8048,7991,11380,0
23774,19333,17349,25758,0
12237,10032,9073,13196,0
8652,8306,8447,8511,1
16619,12906,12485,17040,0
9476,10897,8170,12203,1
8370,9110,7204,10276,1
14223,11315,12462,13076,0
10090,9047,5797,13340,0
6268,6582,6355,6495,1
7756,7164,6297,8623,0
15690,13127,15597,13220,0
11778,11435,9826,13387,0
5527,6507,5528,6506,1
6486,7055,6529,7012,1
13958,10576,9714,14820,0
3387,3608,3038,3957,1
6011,6878,5101,7788,1
14541,12693,12374,14860,0
4990,6030,5620,5400,1
8040,9088,6085,11043,1
11813,13262,9722,15353,1
16087,9310,9342,16055,0
5527,5522,2615,8434,1
15512,13091,12743,15860,0
8152,9487,8773,8866,1
10900,11462,9889,12473,1
4947,5115,4391,5671,1
4990,5327,2471,7846,1
6602,6196,6619,6179,1
8068,8731,6940,9859,1
9227,10419,6072,13574,1
7168,7816,5691,9293,1
15303,11664,12438,14529,0
6457,6661,3767,9351,1
10288,9168,7368,12088,0
15022,12561,13109,14474,0
6148,6988,2931,10205,1
19048,15232,12001,22279,0
7615,5201,5077,7739,0
19279,10467,11243,18503,0
7626,7915,7774,7767,1
13164,8827,8175,13816,0
11532,10386,10651,11267,0
7296,8343,4458,11181,1
13595,9236,10902,11929,0
6780,7688,5017,9451,1
4362,4732,2597,6497,1
4132,5179,4131,5180,1
5698,5653,3786,7565,1
3184,3496,2520,4160,1
4061,4873,2868,6066,1
8241,6834,7291,7784,0
10547,9137,10357,9327,0
13039,11303,11443,12899,0
12106,9468,8524,13050,0
6117,6115,6136,6096,1
7568,8402,5302,10668,1
12925,9263,9489,12699,0
5057,6042,5344,5755,1
10704,8766,9340,10130,0
13541,15309,13088,15762,0
10874,7491,6280,12085,0
4441,5068,2491,7018,1
10740,9648,9205,11183,0
8642,7056,6572,9126,0
